date,isin,ticker,price
2022-05-02,CH0012005267,NOVN.SW,71.1473
2022-07-01,CH0012005267,NOVN.SW,66.9289
2022-09-01,CH0012005267,NOVN.SW,61.8669
2022-10-03,CH0012005267,NOVN.SW,66.2654
2023-01-03,CH0012005267,NOVN.SW,67.5432
2023-07-03,CH0012005267,NOVN.SW,77.9438
2023-08-02,CH0012005267,NOVN.SW,76.4375
2023-10-02,CH0012005267,NOVN.SW,76.3406
2024-01-03,CH0012005267,NOVN.SW,80.7292
2024-02-01,CH0012005267,NOVN.SW,80.8105
2024-05-02,CH0012005267,NOVN.SW,87.2972
2024-07-01,CH0012005267,NOVN.SW,92.3662
2024-09-02,CH0012005267,NOVN.SW,91.0263
2024-10-01,CH0012005267,NOVN.SW,87.8875
2025-03-03,CH0012005267,NOVN.SW,94.9509
2025-09-01,CH0012005267,NOVN.SW,97.1635
2026-01-05,CH0012005267,NOVN.SW,111.2354
2026-03-02,CH0012005267,NOVN.SW,120.86
2020-04-27,CH0012032048,RHHVF.US,294.2108
2020-04-28,CH0012032048,RHHVF.US,299.758
2020-04-29,CH0012032048,RHHVF.US,286.2145
2020-04-30,CH0012032048,RHHVF.US,283.7079
2020-05-01,CH0012032048,RHHVF.US,280.2399
2020-05-04,CH0012032048,RHHVF.US,291.2769
2020-05-05,CH0012032048,RHHVF.US,285.7871
2020-05-06,CH0012032048,RHHVF.US,291.055
2020-05-07,CH0012032048,RHHVF.US,286.7322
2020-05-08,CH0012032048,RHHVF.US,290.7838
2020-05-11,CH0012032048,RHHVF.US,289.4442
2020-05-12,CH0012032048,RHHVF.US,295.69
2020-05-13,CH0012032048,RHHVF.US,292.1562
2020-05-14,CH0012032048,RHHVF.US,296.5776
2020-05-15,CH0012032048,RHHVF.US,298.2788
2020-05-18,CH0012032048,RHHVF.US,295.7311
2020-05-19,CH0012032048,RHHVF.US,297.3337
2020-05-20,CH0012032048,RHHVF.US,297.8268
2020-05-21,CH0012032048,RHHVF.US,291.4166
2020-05-22,CH0012032048,RHHVF.US,290.1017
2020-05-26,CH0012032048,RHHVF.US,291.7453
2020-05-27,CH0012032048,RHHVF.US,281.637
2020-05-28,CH0012032048,RHHVF.US,288.0471
2020-05-29,CH0012032048,RHHVF.US,285.0681
2020-06-01,CH0012032048,RHHVF.US,286.8144
2020-06-02,CH0012032048,RHHVF.US,283.1162
2020-06-03,CH0012032048,RHHVF.US,289.0744
2020-06-04,CH0012032048,RHHVF.US,287.4472
2020-06-05,CH0012032048,RHHVF.US,287.3568
2020-06-08,CH0012032048,RHHVF.US,279.4263
2020-06-09,CH0012032048,RHHVF.US,285.3351
2020-06-10,CH0012032048,RHHVF.US,288.869
2020-06-11,CH0012032048,RHHVF.US,279.4181
2020-06-12,CH0012032048,RHHVF.US,281.3822
2020-06-15,CH0012032048,RHHVF.US,282.6231
2020-06-16,CH0012032048,RHHVF.US,279.4263
2020-06-17,CH0012032048,RHHVF.US,294.2026
2020-06-18,CH0012032048,RHHVF.US,290.9564
2020-06-19,CH0012032048,RHHVF.US,295.0326
2020-06-22,CH0012032048,RHHVF.US,295.0326
2020-06-23,CH0012032048,RHHVF.US,295.8544
2020-06-24,CH0012032048,RHHVF.US,286.9459
2020-06-25,CH0012032048,RHHVF.US,292.978
2020-06-26,CH0012032048,RHHVF.US,288.6782
2020-06-29,CH0012032048,RHHVF.US,281.9164
2020-06-30,CH0012032048,RHHVF.US,282.7464
2020-07-01,CH0012032048,RHHVF.US,287.6362
2020-07-02,CH0012032048,RHHVF.US,290.1017
2020-07-06,CH0012032048,RHHVF.US,291.3508
2020-07-07,CH0012032048,RHHVF.US,286.8144
2020-07-08,CH0012032048,RHHVF.US,287.6362
2020-07-09,CH0012032048,RHHVF.US,289.5511
2020-07-10,CH0012032048,RHHVF.US,292.4192
2020-07-13,CH0012032048,RHHVF.US,290.4584
2020-07-14,CH0012032048,RHHVF.US,288.9758
2020-07-15,CH0012032048,RHHVF.US,289.2799
2020-07-16,CH0012032048,RHHVF.US,293.7423
2020-07-17,CH0012032048,RHHVF.US,297.6871
2020-07-20,CH0012032048,RHHVF.US,304.1548
2020-07-21,CH0012032048,RHHVF.US,297.7528
2020-07-22,CH0012032048,RHHVF.US,303.2508
2020-07-23,CH0012032048,RHHVF.US,289.2799
2020-07-24,CH0012032048,RHHVF.US,287.2171
2020-07-27,CH0012032048,RHHVF.US,287.628
2020-07-28,CH0012032048,RHHVF.US,286.8144
2020-07-29,CH0012032048,RHHVF.US,292.1562
2020-07-30,CH0012032048,RHHVF.US,290.5126
2020-07-31,CH0012032048,RHHVF.US,281.4726
2020-08-03,CH0012032048,RHHVF.US,291.2522
2020-08-04,CH0012032048,RHHVF.US,285.179
2020-08-05,CH0012032048,RHHVF.US,287.4308
2020-08-06,CH0012032048,RHHVF.US,287.4719
2020-08-07,CH0012032048,RHHVF.US,281.1028
2020-08-10,CH0012032048,RHHVF.US,283.2888
2020-08-11,CH0012032048,RHHVF.US,277.7252
2020-08-12,CH0012032048,RHHVF.US,284.4558
2020-08-13,CH0012032048,RHHVF.US,283.5107
2020-08-14,CH0012032048,RHHVF.US,278.7606
2020-08-17,CH0012032048,RHHVF.US,283.9463
2020-08-18,CH0012032048,RHHVF.US,285.9926
2020-08-19,CH0012032048,RHHVF.US,282.0479
2020-08-20,CH0012032048,RHHVF.US,292.5671
2020-08-21,CH0012032048,RHHVF.US,287.7924
2020-08-24,CH0012032048,RHHVF.US,287.8252
2020-08-25,CH0012032048,RHHVF.US,285.9926
2020-08-26,CH0012032048,RHHVF.US,291.2892
2020-08-27,CH0012032048,RHHVF.US,289.321
2020-08-28,CH0012032048,RHHVF.US,287.513
2020-08-31,CH0012032048,RHHVF.US,287.6362
2020-09-01,CH0012032048,RHHVF.US,289.6908
2020-09-02,CH0012032048,RHHVF.US,296.6762
2020-09-03,CH0012032048,RHHVF.US,285.3105
2020-09-04,CH0012032048,RHHVF.US,288.0882
2020-09-08,CH0012032048,RHHVF.US,286.9788
2020-09-09,CH0012032048,RHHVF.US,294.4162
2020-09-10,CH0012032048,RHHVF.US,294.6135
2020-09-11,CH0012032048,RHHVF.US,295.4764
2020-09-14,CH0012032048,RHHVF.US,295.8873
2020-09-15,CH0012032048,RHHVF.US,301.8208
2020-09-16,CH0012032048,RHHVF.US,300.7853
2020-09-17,CH0012032048,RHHVF.US,303.9329
2020-09-18,CH0012032048,RHHVF.US,306.3737
2020-09-21,CH0012032048,RHHVF.US,300.6949
2020-09-22,CH0012032048,RHHVF.US,300.3744
2020-09-23,CH0012032048,RHHVF.US,294.145
2020-09-24,CH0012032048,RHHVF.US,291.2194
2020-09-25,CH0012032048,RHHVF.US,296.6762
2020-09-28,CH0012032048,RHHVF.US,290.0688
2020-09-29,CH0012032048,RHHVF.US,285.3351
2020-09-30,CH0012032048,RHHVF.US,282.7053
2020-10-01,CH0012032048,RHHVF.US,280.2399
2020-10-02,CH0012032048,RHHVF.US,283.5271
2020-10-05,CH0012032048,RHHVF.US,289.1155
2020-10-06,CH0012032048,RHHVF.US,282.9272
2020-10-07,CH0012032048,RHHVF.US,282.2944
2020-10-08,CH0012032048,RHHVF.US,280.2399
2020-10-09,CH0012032048,RHHVF.US,288.458
2020-10-12,CH0012032048,RHHVF.US,288.1622
2020-10-13,CH0012032048,RHHVF.US,287.3075
2020-10-14,CH0012032048,RHHVF.US,284.7023
2020-10-15,CH0012032048,RHHVF.US,280.0755
2020-10-16,CH0012032048,RHHVF.US,281.3082
2020-10-19,CH0012032048,RHHVF.US,277.5197
2020-10-20,CH0012032048,RHHVF.US,275.8842
2020-10-21,CH0012032048,RHHVF.US,271.1999
2020-10-22,CH0012032048,RHHVF.US,270.2301
2020-10-23,CH0012032048,RHHVF.US,268.9892
2020-10-26,CH0012032048,RHHVF.US,271.2327
2020-10-27,CH0012032048,RHHVF.US,271.1999
2020-10-28,CH0012032048,RHHVF.US,263.4337
2020-10-29,CH0012032048,RHHVF.US,268.5701
2020-10-30,CH0012032048,RHHVF.US,261.8229
2020-11-02,CH0012032048,RHHVF.US,270.4356
2020-11-03,CH0012032048,RHHVF.US,275.95
2020-11-04,CH0012032048,RHHVF.US,284.349
2020-11-05,CH0012032048,RHHVF.US,286.8226
2020-11-06,CH0012032048,RHHVF.US,292.0576
2020-11-09,CH0012032048,RHHVF.US,275.4733
2020-11-10,CH0012032048,RHHVF.US,277.3635
2020-11-11,CH0012032048,RHHVF.US,277.117
2020-11-12,CH0012032048,RHHVF.US,280.7083
2020-11-13,CH0012032048,RHHVF.US,279.0071
2020-11-16,CH0012032048,RHHVF.US,279.0071
2020-11-17,CH0012032048,RHHVF.US,277.4128
2020-11-18,CH0012032048,RHHVF.US,276.3116
2020-11-19,CH0012032048,RHHVF.US,275.4733
2020-11-20,CH0012032048,RHHVF.US,273.2873
2020-11-23,CH0012032048,RHHVF.US,268.9399
2020-11-24,CH0012032048,RHHVF.US,269.4823
2020-11-25,CH0012032048,RHHVF.US,269.4823
2020-11-27,CH0012032048,RHHVF.US,272.8435
2020-11-30,CH0012032048,RHHVF.US,269.4823
2020-12-01,CH0012032048,RHHVF.US,273.1065
2020-12-02,CH0012032048,RHHVF.US,275.309
2020-12-03,CH0012032048,RHHVF.US,276.3362
2020-12-04,CH0012032048,RHHVF.US,276.9476
2020-12-07,CH0012032048,RHHVF.US,276.5417
2020-12-08,CH0012032048,RHHVF.US,280.0591
2020-12-09,CH0012032048,RHHVF.US,282.7053
2020-12-10,CH0012032048,RHHVF.US,283.5271
2020-12-11,CH0012032048,RHHVF.US,281.8835
2020-12-14,CH0012032048,RHHVF.US,286.157
2020-12-15,CH0012032048,RHHVF.US,281.1932
2020-12-16,CH0012032048,RHHVF.US,287.6362
2020-12-17,CH0012032048,RHHVF.US,283.5271
2020-12-18,CH0012032048,RHHVF.US,286.2391
2020-12-21,CH0012032048,RHHVF.US,282.9108
2020-12-22,CH0012032048,RHHVF.US,282.4095
2020-12-23,CH0012032048,RHHVF.US,277.7744
2020-12-24,CH0012032048,RHHVF.US,276.2951
2020-12-28,CH0012032048,RHHVF.US,282.7053
2020-12-29,CH0012032048,RHHVF.US,286.8144
2020-12-30,CH0012032048,RHHVF.US,286.2391
2020-12-31,CH0012032048,RHHVF.US,278.5962
2021-01-04,CH0012032048,RHHVF.US,288.0915
2021-01-05,CH0012032048,RHHVF.US,289.5091
2021-01-06,CH0012032048,RHHVF.US,281.9164
2021-01-07,CH0012032048,RHHVF.US,275.309
2021-01-08,CH0012032048,RHHVF.US,283.7326
2021-01-11,CH0012032048,RHHVF.US,287.7759
2021-01-12,CH0012032048,RHHVF.US,290.4099
2021-01-13,CH0012032048,RHHVF.US,285.2036
2021-01-14,CH0012032048,RHHVF.US,287.4719
2021-01-15,CH0012032048,RHHVF.US,288.8772
2021-01-19,CH0012032048,RHHVF.US,292.8055
2021-01-20,CH0012032048,RHHVF.US,294.9668
2021-01-21,CH0012032048,RHHVF.US,295.1723
2021-01-22,CH0012032048,RHHVF.US,295.8544
2021-01-25,CH0012032048,RHHVF.US,299.7991
2021-01-26,CH0012032048,RHHVF.US,298.928
2021-01-27,CH0012032048,RHHVF.US,297.8103
2021-01-28,CH0012032048,RHHVF.US,292.4439
2021-01-29,CH0012032048,RHHVF.US,280.1659
2021-02-01,CH0012032048,RHHVF.US,285.6392
2021-02-02,CH0012032048,RHHVF.US,285.5735
2021-02-03,CH0012032048,RHHVF.US,283.6011
2021-02-04,CH0012032048,RHHVF.US,286.8144
2021-02-05,CH0012032048,RHHVF.US,282.9519
2021-02-08,CH0012032048,RHHVF.US,287.6034
2021-02-09,CH0012032048,RHHVF.US,286.8144
2021-02-10,CH0012032048,RHHVF.US,289.4442
2021-02-11,CH0012032048,RHHVF.US,283.182
2021-02-12,CH0012032048,RHHVF.US,289.9784
2021-02-16,CH0012032048,RHHVF.US,284.349
2021-02-17,CH0012032048,RHHVF.US,279.6235
2021-02-18,CH0012032048,RHHVF.US,279.5002
2021-02-19,CH0012032048,RHHVF.US,277.7744
2021-02-22,CH0012032048,RHHVF.US,275.1775
2021-02-23,CH0012032048,RHHVF.US,274.4871
2021-02-24,CH0012032048,RHHVF.US,271.1999
2021-02-25,CH0012032048,RHHVF.US,265.9485
2021-02-26,CH0012032048,RHHVF.US,270.2835
2021-03-01,CH0012032048,RHHVF.US,271.6108
2021-03-02,CH0012032048,RHHVF.US,272.4326
2021-03-03,CH0012032048,RHHVF.US,268.8741
2021-03-04,CH0012032048,RHHVF.US,267.6414
2021-03-05,CH0012032048,RHHVF.US,262.5872
2021-03-08,CH0012032048,RHHVF.US,267.0579
2021-03-09,CH0012032048,RHHVF.US,270.7972
2021-03-10,CH0012032048,RHHVF.US,274.2324
2021-03-11,CH0012032048,RHHVF.US,272.1203
2021-03-12,CH0012032048,RHHVF.US,279.5002
2021-03-15,CH0012032048,RHHVF.US,274.9063
2021-03-16,CH0012032048,RHHVF.US,280.9384
2021-03-17,CH0012032048,RHHVF.US,280.018
2021-03-18,CH0012032048,RHHVF.US,279.4933
2021-03-19,CH0012032048,RHHVF.US,277.5975
2021-03-22,CH0012032048,RHHVF.US,283.6911
2021-03-23,CH0012032048,RHHVF.US,280.3015
2021-03-24,CH0012032048,RHHVF.US,276.5819
2021-03-25,CH0012032048,RHHVF.US,276.8358
2021-03-26,CH0012032048,RHHVF.US,271.2584
2021-03-29,CH0012032048,RHHVF.US,277.5975
2021-03-30,CH0012032048,RHHVF.US,270.8353
2021-03-31,CH0012032048,RHHVF.US,276.3195
2021-04-01,CH0012032048,RHHVF.US,276.7427
2021-04-05,CH0012032048,RHHVF.US,281.4567
2021-04-06,CH0012032048,RHHVF.US,277.1066
2021-04-07,CH0012032048,RHHVF.US,276.8273
2021-04-08,CH0012032048,RHHVF.US,279.3071
2021-04-09,CH0012032048,RHHVF.US,281.406
2021-04-12,CH0012032048,RHHVF.US,280.1365
2021-04-13,CH0012032048,RHHVF.US,278.5115
2021-04-14,CH0012032048,RHHVF.US,281.9815
2021-04-15,CH0012032048,RHHVF.US,282.2523
2021-04-16,CH0012032048,RHHVF.US,281.8291
2021-04-19,CH0012032048,RHHVF.US,283.945
2021-04-20,CH0012032048,RHHVF.US,286.6702
2021-04-21,CH0012032048,RHHVF.US,294.5241
2021-04-22,CH0012032048,RHHVF.US,289.4461
2021-04-23,CH0012032048,RHHVF.US,284.3681
2021-04-26,CH0012032048,RHHVF.US,281.8291
2021-04-27,CH0012032048,RHHVF.US,280.9828
2021-04-28,CH0012032048,RHHVF.US,281.8291
2021-04-29,CH0012032048,RHHVF.US,277.5975
2021-04-30,CH0012032048,RHHVF.US,277.5975
2021-05-03,CH0012032048,RHHVF.US,279.0447
2021-05-04,CH0012032048,RHHVF.US,273.9582
2021-05-05,CH0012032048,RHHVF.US,269.5573
2021-05-06,CH0012032048,RHHVF.US,280.6781
2021-05-07,CH0012032048,RHHVF.US,281.8291
2021-05-10,CH0012032048,RHHVF.US,285.2145
2021-05-11,CH0012032048,RHHVF.US,280.9828
2021-05-12,CH0012032048,RHHVF.US,283.3525
2021-05-13,CH0012032048,RHHVF.US,275.5239
2021-05-14,CH0012032048,RHHVF.US,284.8929
2021-05-17,CH0012032048,RHHVF.US,287.7535
2021-05-18,CH0012032048,RHHVF.US,284.1989
2021-05-19,CH0012032048,RHHVF.US,284.9726
2021-05-20,CH0012032048,RHHVF.US,291.7312
2021-05-21,CH0012032048,RHHVF.US,291.9851
2021-05-24,CH0012032048,RHHVF.US,284.1989
2021-05-25,CH0012032048,RHHVF.US,296.2167
2021-05-26,CH0012032048,RHHVF.US,297.2577
2021-05-27,CH0012032048,RHHVF.US,292.8823
2021-05-28,CH0012032048,RHHVF.US,287.7535
2021-06-01,CH0012032048,RHHVF.US,286.9749
2021-06-02,CH0012032048,RHHVF.US,292.4252
2021-06-03,CH0012032048,RHHVF.US,280.5596
2021-06-04,CH0012032048,RHHVF.US,299.2805
2021-06-07,CH0012032048,RHHVF.US,308.9118
2021-06-08,CH0012032048,RHHVF.US,312.2124
2021-06-09,CH0012032048,RHHVF.US,320.6081
2021-06-10,CH0012032048,RHHVF.US,317.5444
2021-06-11,CH0012032048,RHHVF.US,321.6068
2021-06-14,CH0012032048,RHHVF.US,328.8006
2021-06-15,CH0012032048,RHHVF.US,317.5444
2021-06-16,CH0012032048,RHHVF.US,324.9921
2021-06-17,CH0012032048,RHHVF.US,318.2216
2021-06-18,CH0012032048,RHHVF.US,318.1369
2021-06-21,CH0012032048,RHHVF.US,321.6068
2021-06-22,CH0012032048,RHHVF.US,317.5444
2021-06-23,CH0012032048,RHHVF.US,321.6067
2021-06-24,CH0012032048,RHHVF.US,309.6566
2021-06-25,CH0012032048,RHHVF.US,309.5973
2021-06-28,CH0012032048,RHHVF.US,313.1435
2021-06-29,CH0012032048,RHHVF.US,311.7893
2021-06-30,CH0012032048,RHHVF.US,312.2972
2021-07-01,CH0012032048,RHHVF.US,320.7351
2021-07-02,CH0012032048,RHHVF.US,321.4376
2021-07-06,CH0012032048,RHHVF.US,313.1436
2021-07-07,CH0012032048,RHHVF.US,325.8385
2021-07-08,CH0012032048,RHHVF.US,325.2037
2021-07-09,CH0012032048,RHHVF.US,315.4286
2021-07-12,CH0012032048,RHHVF.US,327.3788
2021-07-13,CH0012032048,RHHVF.US,326.7865
2021-07-14,CH0012032048,RHHVF.US,329.7232
2021-07-15,CH0012032048,RHHVF.US,322.377
2021-07-16,CH0012032048,RHHVF.US,328.771
2021-07-19,CH0012032048,RHHVF.US,323.0626
2021-07-20,CH0012032048,RHHVF.US,324.8567
2021-07-21,CH0012032048,RHHVF.US,327.108
2021-07-22,CH0012032048,RHHVF.US,316.9689
2021-07-23,CH0012032048,RHHVF.US,313.3552
2021-07-26,CH0012032048,RHHVF.US,322.1146
2021-07-27,CH0012032048,RHHVF.US,312.3056
2021-07-28,CH0012032048,RHHVF.US,312.2972
2021-07-29,CH0012032048,RHHVF.US,323.4434
2021-07-30,CH0012032048,RHHVF.US,329.2238
2021-08-02,CH0012032048,RHHVF.US,332.5244
2021-08-03,CH0012032048,RHHVF.US,313.5667
2021-08-04,CH0012032048,RHHVF.US,329.1984
