isin,ticker,code,exchange,name,type,country,currency
CH0012005267,0QLR.LSE,0QLR,LSE,Novartis AG,Common Stock,UK,GBP
CH0012005267,0QLR.LSE,0QLR,LSE,Novartis AG,Common Stock,UK,GBP
CH0012005267,0QLR.LSE,0QLR,LSE,Novartis AG,Common Stock,UK,GBP
CH0012005267,0QLR.LSE,0QLR,LSE,Novartis AG,Common Stock,UK,GBP
CH0012005267,0QLR.LSE,0QLR,LSE,Novartis AG,Common Stock,UK,GBP
CH0012005267,0QLR.LSE,0QLR,LSE,Novartis AG,Common Stock,UK,GBP
CH0012005267,0QLR.LSE,0QLR,LSE,Novartis AG,Common Stock,UK,GBP
CH0012005267,0QLR.LSE,0QLR,LSE,Novartis AG,Common Stock,UK,GBP
CH0012005267,0QLR.LSE,0QLR,LSE,Novartis AG,Common Stock,UK,GBP
CH0012005267,NOT.STU,NOT,STU,NOVARTIS N (NOT.SG),Common Stock,Germany,EUR
CH0012005267,NOT.STU,NOT,STU,NOVARTIS N (NOT.SG),Common Stock,Germany,EUR
CH0012005267,NOT.STU,NOT,STU,NOVARTIS N (NOT.SG),Common Stock,Germany,EUR
CH0012005267,NOT.STU,NOT,STU,NOVARTIS N (NOT.SG),Common Stock,Germany,EUR
CH0012005267,NOT.STU,NOT,STU,NOVARTIS N (NOT.SG),Common Stock,Germany,EUR
CH0012005267,NOT.STU,NOT,STU,NOVARTIS N (NOT.SG),Common Stock,Germany,EUR
CH0012005267,NOT.STU,NOT,STU,NOVARTIS N (NOT.SG),Common Stock,Germany,EUR
CH0012005267,NOT.STU,NOT,STU,NOVARTIS N (NOT.SG),Common Stock,Germany,EUR
CH0012005267,NOT.STU,NOT,STU,NOVARTIS N (NOT.SG),Common Stock,Germany,EUR
CH0012005267,NOVN.SW,NOVN,SW,Novartis AG,Common Stock,Switzerland,CHF
CH0012005267,NOVN.SW,NOVN,SW,Novartis AG,Common Stock,Switzerland,CHF
CH0012005267,NOVN.SW,NOVN,SW,Novartis AG,Common Stock,Switzerland,CHF
CH0012005267,NOVN.SW,NOVN,SW,Novartis AG,Common Stock,Switzerland,CHF
CH0012005267,NOVN.SW,NOVN,SW,Novartis AG,Common Stock,Switzerland,CHF
CH0012005267,NOVN.SW,NOVN,SW,Novartis AG,Common Stock,Switzerland,CHF
CH0012005267,NOVN.SW,NOVN,SW,Novartis AG,Common Stock,Switzerland,CHF
CH0012005267,NOVN.SW,NOVN,SW,Novartis AG,Common Stock,Switzerland,CHF
CH0012005267,NOVN.SW,NOVN,SW,Novartis AG,Common Stock,Switzerland,CHF
CH0012005267,NVSEF.US,NVSEF,US,Novartis AG,Common Stock,USA,USD
CH0012005267,NVSEF.US,NVSEF,US,Novartis AG,Common Stock,USA,USD
CH0012005267,NVSEF.US,NVSEF,US,Novartis AG,Common Stock,USA,USD
CH0012005267,NVSEF.US,NVSEF,US,Novartis AG,Common Stock,USA,USD
CH0012005267,NVSEF.US,NVSEF,US,Novartis AG,Common Stock,USA,USD
CH0012005267,NVSEF.US,NVSEF,US,Novartis AG,Common Stock,USA,USD
CH0012005267,NVSEF.US,NVSEF,US,Novartis AG,Common Stock,USA,USD
CH0012005267,NVSEF.US,NVSEF,US,Novartis AG,Common Stock,USA,USD
CH0012005267,NVSEF.US,NVSEF,US,Novartis AG,Common Stock,USA,USD
CH0012032048,0QOK.LSE,0QOK,LSE,Roche Holding AG Participation,Common Stock,UK,GBP
CH0012032048,0QOK.LSE,0QOK,LSE,Roche Holding AG Participation,Common Stock,UK,GBP
CH0012032048,0QOK.LSE,0QOK,LSE,Roche Holding AG Participation,Common Stock,UK,GBP
CH0012032048,0QOK.LSE,0QOK,LSE,Roche Holding AG Participation,Common Stock,UK,GBP
CH0012032048,0QOK.LSE,0QOK,LSE,Roche Holding AG Participation,Common Stock,UK,GBP
CH0012032048,0QOK.LSE,0QOK,LSE,Roche Holding AG Participation,Common Stock,UK,GBP
CH0012032048,0QOK.LSE,0QOK,LSE,Roche Holding AG Participation,Common Stock,UK,GBP
CH0012032048,0QOK.LSE,0QOK,LSE,Roche Holding AG Participation,Common Stock,UK,GBP
CH0012032048,0QOK.LSE,0QOK,LSE,Roche Holding AG Participation,Common Stock,UK,GBP
CH0012032048,ROGN.MX,ROGN,MX,Roche Holding AG,Common Stock,Mexico,MXN
CH0012032048,ROGN.MX,ROGN,MX,Roche Holding AG,Common Stock,Mexico,MXN
CH0012032048,ROGN.MX,ROGN,MX,Roche Holding AG,Common Stock,Mexico,MXN
CH0012032048,ROGN.MX,ROGN,MX,Roche Holding AG,Common Stock,Mexico,MXN
CH0012032048,ROGN.MX,ROGN,MX,Roche Holding AG,Common Stock,Mexico,MXN
CH0012032048,ROGN.MX,ROGN,MX,Roche Holding AG,Common Stock,Mexico,MXN
CH0012032048,ROGN.MX,ROGN,MX,Roche Holding AG,Common Stock,Mexico,MXN
CH0012032048,ROGN.MX,ROGN,MX,Roche Holding AG,Common Stock,Mexico,MXN
CH0012032048,ROGN.MX,ROGN,MX,Roche Holding AG,Common Stock,Mexico,MXN
CH0012032048,RHHVF.US,RHHVF,US,Roche Holding AG Participation,Common Stock,USA,USD
CH0012032048,RHHVF.US,RHHVF,US,Roche Holding AG Participation,Common Stock,USA,USD
CH0012032048,RHHVF.US,RHHVF,US,Roche Holding AG Participation,Common Stock,USA,USD
CH0012032048,RHHVF.US,RHHVF,US,Roche Holding AG Participation,Common Stock,USA,USD
CH0012032048,RHHVF.US,RHHVF,US,Roche Holding AG Participation,Common Stock,USA,USD
CH0012032048,RHHVF.US,RHHVF,US,Roche Holding AG Participation,Common Stock,USA,USD
CH0012032048,RHHVF.US,RHHVF,US,Roche Holding AG Participation,Common Stock,USA,USD
CH0012032048,RHHVF.US,RHHVF,US,Roche Holding AG Participation,Common Stock,USA,USD
CH0012032048,RHHVF.US,RHHVF,US,Roche Holding AG Participation,Common Stock,USA,USD
CH0012214059,0QKY.LSE,0QKY,LSE,Holcim Ltd.,Common Stock,UK,EUR
CH0012214059,0QKY.LSE,0QKY,LSE,Holcim Ltd.,Common Stock,UK,EUR
CH0012214059,0QKY.LSE,0QKY,LSE,Holcim Ltd.,Common Stock,UK,EUR
CH0012214059,0QKY.LSE,0QKY,LSE,Holcim Ltd.,Common Stock,UK,EUR
CH0012214059,0QKY.LSE,0QKY,LSE,Holcim Ltd.,Common Stock,UK,EUR
CH0012214059,0QKY.LSE,0QKY,LSE,Holcim Ltd.,Common Stock,UK,EUR
