date,base,quote,rate
2026-05-22,CHF,AUD,1.7856
2026-05-26,CHF,AUD,1.7771
2026-05-27,CHF,AUD,1.7831
2026-05-29,CHF,AUD,1.7822
2026-06-01,CHF,AUD,1.7785
2026-06-02,CHF,AUD,1.773
2026-05-22,CHF,BRL,6.3784
2026-05-26,CHF,BRL,6.3927
2026-05-27,CHF,BRL,6.4152
2026-05-29,CHF,BRL,6.4479
2026-06-01,CHF,BRL,6.4105
2026-06-02,CHF,BRL,6.3734
2026-05-22,CHF,CAD,1.7548
2026-05-26,CHF,CAD,1.7589
2026-05-27,CHF,CAD,1.7589
2026-05-29,CHF,CAD,1.7642
2026-06-01,CHF,CAD,1.7645
2026-06-02,CHF,CAD,1.7618
2026-05-22,CHF,CHF,1.0
2026-05-26,CHF,CHF,1.0
2026-05-27,CHF,CHF,1.0
2026-05-29,CHF,CHF,1.0
2026-06-01,CHF,CHF,1.0
2026-06-02,CHF,CHF,1.0
2026-05-22,CHF,CNY,8.6403
2026-05-26,CHF,CNY,8.6404
2026-05-27,CHF,CNY,8.6226
2026-05-29,CHF,CNY,8.6481
2026-06-01,CHF,CNY,8.6312
2026-06-02,CHF,CNY,8.6106
2026-05-22,CHF,CZK,26.636
2026-05-26,CHF,CZK,26.551
2026-05-27,CHF,CZK,26.531
2026-05-29,CHF,CZK,26.651
2026-06-01,CHF,CZK,26.605
2026-06-02,CHF,CZK,26.498
2026-05-22,CHF,DKK,8.1951
2026-05-26,CHF,DKK,8.1787
2026-05-27,CHF,DKK,8.1641
2026-05-29,CHF,DKK,8.2023
2026-06-01,CHF,DKK,8.1877
2026-06-02,CHF,DKK,8.1692
2026-05-22,CHF,EUR,1.0966
2026-05-26,CHF,EUR,1.0946
2026-05-27,CHF,EUR,1.0925
2026-05-29,CHF,EUR,1.0976
2026-06-01,CHF,EUR,1.0955
2026-06-02,CHF,EUR,1.093
2026-05-22,CHF,GBP,0.94767
2026-05-26,CHF,GBP,0.94544
2026-05-27,CHF,GBP,0.94633
2026-05-29,CHF,GBP,0.95185
2026-06-01,CHF,GBP,0.94756
2026-06-02,CHF,GBP,0.94508
2026-05-22,CHF,HKD,9.9644
2026-05-26,CHF,HKD,9.9782
2026-05-27,CHF,HKD,9.961
2026-05-29,CHF,HKD,10.014
2026-06-01,CHF,HKD,9.999
2026-06-02,CHF,HKD,9.979
2026-05-22,CHF,HUF,393.77
2026-05-26,CHF,HUF,388.96
2026-05-27,CHF,HUF,387.67
2026-05-29,CHF,HUF,388.2
2026-06-01,CHF,HUF,388.69
2026-06-02,CHF,HUF,387.51
2026-05-22,CHF,IDR,22499.0
2026-05-26,CHF,IDR,22711.0
2026-05-27,CHF,IDR,22678.0
2026-05-29,CHF,IDR,22769.0
2026-06-01,CHF,IDR,22755.0
2026-06-02,CHF,IDR,22699.0
2026-05-22,CHF,ILS,3.6812
2026-05-26,CHF,ILS,3.6384
2026-05-27,CHF,ILS,3.6056
2026-05-29,CHF,ILS,3.5871
2026-06-01,CHF,ILS,3.5921
2026-06-02,CHF,ILS,3.6144
2026-05-22,CHF,INR,121.68
2026-05-26,CHF,INR,121.85
2026-05-27,CHF,INR,121.67
2026-05-29,CHF,INR,121.41
2026-06-01,CHF,INR,121.2
2026-06-02,CHF,INR,121.3
2026-05-22,CHF,ISK,157.47
2026-05-26,CHF,ISK,157.18
2026-05-27,CHF,ISK,156.67
2026-05-29,CHF,ISK,157.39
2026-06-01,CHF,ISK,157.54
2026-06-02,CHF,ISK,156.96
2026-05-22,CHF,JPY,202.36
2026-05-26,CHF,JPY,202.74
2026-05-27,CHF,JPY,202.69
2026-05-29,CHF,JPY,203.55
2026-06-01,CHF,JPY,203.48
2026-06-02,CHF,JPY,203.4
2026-05-22,CHF,KRW,1929.6
2026-05-26,CHF,KRW,1916.89
2026-05-27,CHF,KRW,1906.7
2026-05-29,CHF,KRW,1925.04
2026-06-01,CHF,KRW,1924.8
2026-06-02,CHF,KRW,1931.72
2026-05-22,CHF,MXN,22.046
2026-05-26,CHF,MXN,22.015
2026-05-27,CHF,MXN,22.019
2026-05-29,CHF,MXN,22.16
2026-06-01,CHF,MXN,22.107
2026-06-02,CHF,MXN,22.006
2026-05-22,CHF,MYR,5.0454
2026-05-26,CHF,MYR,5.0491
2026-05-27,CHF,MYR,5.0411
2026-05-29,CHF,MYR,5.0673
2026-06-01,CHF,MYR,5.0587
2026-06-02,CHF,MYR,5.0484
2026-05-22,CHF,NOK,11.7661
2026-05-26,CHF,NOK,11.7907
2026-05-27,CHF,NOK,11.7961
2026-05-29,CHF,NOK,11.8247
2026-06-01,CHF,NOK,11.8191
2026-06-02,CHF,NOK,11.8046
2026-05-22,CHF,NZD,2.1732
2026-05-26,CHF,NZD,2.1796
2026-05-27,CHF,NZD,2.1604
2026-05-29,CHF,NZD,2.1393
2026-06-01,CHF,NZD,2.1426
2026-06-02,CHF,NZD,2.1443
2026-05-22,CHF,PHP,78.353
2026-05-26,CHF,PHP,78.379
2026-05-27,CHF,PHP,78.133
2026-05-29,CHF,PHP,78.689
2026-06-01,CHF,PHP,78.786
2026-06-02,CHF,PHP,78.513
2026-05-22,CHF,PLN,4.6518
2026-05-26,CHF,PLN,4.6317
2026-05-27,CHF,PLN,4.6285
2026-05-29,CHF,PLN,4.64
2026-06-01,CHF,PLN,4.6374
2026-06-02,CHF,PLN,4.6284
2026-05-22,CHF,RON,5.7561
2026-05-26,CHF,RON,5.7339
2026-05-27,CHF,RON,5.7226
2026-05-29,CHF,RON,5.7648
2026-06-01,CHF,RON,5.7549
2026-06-02,CHF,RON,5.7441
2026-05-22,CHF,SEK,11.9196
2026-05-26,CHF,SEK,11.8482
2026-05-27,CHF,SEK,11.7879
2026-05-29,CHF,SEK,11.8231
2026-06-01,CHF,SEK,11.8197
2026-06-02,CHF,SEK,11.8319
2026-05-22,CHF,SGD,1.628
2026-05-26,CHF,SGD,1.6272
2026-05-27,CHF,SGD,1.6245
2026-05-29,CHF,SGD,1.6321
2026-06-01,CHF,SGD,1.6303
2026-06-02,CHF,SGD,1.6277
2026-05-22,CHF,THB,41.534
2026-05-26,CHF,THB,41.59
2026-05-27,CHF,THB,41.473
2026-05-29,CHF,THB,41.561
2026-06-01,CHF,THB,41.536
2026-06-02,CHF,THB,41.489
2026-05-22,CHF,TRY,58.128
2026-05-26,CHF,TRY,58.458
2026-05-27,CHF,TRY,58.362
2026-05-29,CHF,TRY,58.643
2026-06-01,CHF,TRY,58.554
2026-06-02,CHF,TRY,58.476
2026-05-22,CHF,USD,1.2715
2026-05-26,CHF,USD,1.2734
2026-05-27,CHF,USD,1.2714
2026-05-29,CHF,USD,1.278
2026-06-01,CHF,USD,1.2759
2026-06-02,CHF,USD,1.2733
2026-05-22,CHF,ZAR,20.95
2026-05-26,CHF,ZAR,20.83
2026-05-27,CHF,ZAR,20.799
2026-05-29,CHF,ZAR,20.735
2026-06-01,CHF,ZAR,20.737
2026-06-02,CHF,ZAR,20.631
2021-05-28,USD,AUD,1.3009
2021-05-31,USD,AUD,1.2929
2021-06-01,USD,AUD,1.2919
2021-06-02,USD,AUD,1.293
2021-06-03,USD,AUD,1.2958
2021-06-04,USD,AUD,1.3043
2021-06-07,USD,AUD,1.2891
2021-06-08,USD,AUD,1.2903
2021-06-09,USD,AUD,1.29
2021-06-10,USD,AUD,1.2922
2021-06-11,USD,AUD,1.2938
2021-06-14,USD,AUD,1.2959
2021-06-15,USD,AUD,1.3001
2021-06-16,USD,AUD,1.2965
2021-06-17,USD,AUD,1.3205
2021-06-18,USD,AUD,1.3306
2021-06-21,USD,AUD,1.3305
2021-06-22,USD,AUD,1.3299
2021-06-23,USD,AUD,1.3189
2021-06-24,USD,AUD,1.32
2021-06-25,USD,AUD,1.316
2021-06-28,USD,AUD,1.3227
2021-06-29,USD,AUD,1.33
2021-06-30,USD,AUD,1.334
2021-07-01,USD,AUD,1.3325
2021-07-02,USD,AUD,1.3394
2021-07-05,USD,AUD,1.3282
2021-07-06,USD,AUD,1.3206
2021-07-07,USD,AUD,1.328
2021-07-08,USD,AUD,1.3479
2021-07-09,USD,AUD,1.3382
