date,currency,tenor,ticker,yield_pct,yield
2026-05-01,CHF,10Y,CH10Y.GBOND,0.5,0.005
2026-05-09,CHF,3M,CH10Y.GBOND,5.445,0.05445
2026-05-10,CHF,3M,CH10Y.GBOND,5.445,0.054450000000000005
2026-05-01,EUR,3M,EU3M.GBOND,2.5,0.025
2026-05-09,EUR,3M,DE3M.GBOND,1.969,0.01969
2026-05-10,EUR,3M,DE3M.GBOND,1.969,0.01969
2026-05-01,GBP,3M,GB3M.GBOND,4.5,0.045
2026-05-09,GBP,3M,UK3M.GBOND,3.93,0.0393
2026-05-10,GBP,3M,UK3M.GBOND,3.93,0.0393
2026-05-01,USD,3M,US3M.GBOND,3.65,0.0365
2026-05-09,USD,3M,US3M.GBOND,3.687,0.03687
2026-05-10,USD,3M,US3M.GBOND,3.687,0.03687
