isin,ticker,code,exchange,name,type,country,currency
CH0012005267,0QLR.LSE,0QLR,LSE,Novartis AG,Common Stock,UK,GBP
CH0012005267,NOT.STU,NOT,STU,NOVARTIS N (NOT.SG),Common Stock,Germany,EUR
CH0012005267,NOVN.SW,NOVN,SW,Novartis AG,Common Stock,Switzerland,CHF
CH0012005267,NVSEF.US,NVSEF,US,Novartis AG,Common Stock,USA,USD
CH0012032048,0QOK.LSE,0QOK,LSE,Roche Holding AG Participation,Common Stock,UK,GBP
CH0012032048,ROGN.MX,ROGN,MX,Roche Holding AG,Common Stock,Mexico,MXN
CH0012032048,RHHVF.US,RHHVF,US,Roche Holding AG Participation,Common Stock,USA,USD
CH0012214059,0QKY.LSE,0QKY,LSE,Holcim Ltd.,Common Stock,UK,EUR
CH0012214059,HOLN.SW,HOLN,SW,Holcim AG,Common Stock,Switzerland,CHF
CH0012221716,0NX2.LSE,0NX2,LSE,ABB Ltd,Common Stock,UK,SEK
CH0012221716,ABB.ST,ABB,ST,ABB Ltd,Common Stock,Sweden,SEK
CH0012221716,ABBN.SW,ABBN,SW,ABB Ltd,Common Stock,Switzerland,CHF
CH0012221716,ABLZF.US,ABLZF,US,ABB Ltd,Common Stock,USA,USD
CH0013841017,0QNO.LSE,0QNO,LSE,Lonza Group AG,Common Stock,UK,CHF
CH0013841017,LONN.SW,LONN,SW,Lonza Group AG,Common Stock,Switzerland,CHF
CH0038863350,NESR.F,NESR,F,Nestlé S.A,Common Stock,Germany,EUR
CH0038863350,0QR4.LSE,0QR4,LSE,Nestlé S.A,Common Stock,UK,GBP
CH0038863350,NESN.SW,NESN,SW,Nestle S.A.,Common Stock,Switzerland,CHF
CH0038863350,NSRGF.US,NSRGF,US,Nestle SA,Common Stock,USA,USD
CH0432492467,0A0D.IL,0A0D,IL,Alcon Inc.,Common Stock,UK,USD
CH0432492467,0A0D.LSE,0A0D,LSE,Alcon Inc.,Common Stock,UK,USD
CH0432492467,2U3.STU,2U3,STU,Alcon Inc,Common Stock,Germany,EUR
CH0432492467,ALC.SW,ALC,SW,Alcon AG,Common Stock,Switzerland,CHF
CH0432492467,ALC.US,ALC,US,Alcon AG,Common Stock,USA,USD
CH0432492467,2U3.XETRA,2U3,XETRA,Alcon Inc.,Common Stock,Germany,EUR
US0090661010,6Z1.F,6Z1,F,AIRBNB INC. DL-01,Common Stock,Germany,EUR
US0090661010,0A8C.LSE,0A8C,LSE,"Airbnb, Inc.",Common Stock,UK,USD
US0090661010,ABNB.US,ABNB,US,Airbnb Inc,Common Stock,USA,USD
